yeast_AreaShape_Area,yeast_AreaShape_Perimeter,yeast_AreaShape_MajorAxisLength,yeast_AreaShape_MinorAxisLength,yeast_AreaShape_Eccentricity,yeast_AreaShape_Orientation,yeast_AreaShape_Center_X,yeast_AreaShape_Center_Y,yeast_AreaShape_BoundingBoxArea,yeast_AreaShape_BoundingBoxMinimum_X,yeast_AreaShape_BoundingBoxMaximum_X,yeast_AreaShape_BoundingBoxMinimum_Y,yeast_AreaShape_BoundingBoxMaximum_Y,yeast_AreaShape_FormFactor,yeast_AreaShape_Extent,yeast_AreaShape_Solidity,yeast_AreaShape_Compactness,yeast_AreaShape_EulerNumber,yeast_AreaShape_MaximumRadius,yeast_AreaShape_MeanRadius,yeast_AreaShape_MedianRadius,yeast_AreaShape_ConvexArea,yeast_AreaShape_MinFeretDiameter,yeast_AreaShape_MaxFeretDiameter,yeast_AreaShape_EquivalentDiameter,ImageNumber,yeast_Intensity_IntegratedIntensity_ResizeGFP2,yeast_Intensity_MeanIntensity_ResizeGFP2,yeast_Intensity_StdIntensity_ResizeGFP2,yeast_Intensity_MinIntensity_ResizeGFP2,yeast_Intensity_MaxIntensity_ResizeGFP2,yeast_Intensity_IntegratedIntensityEdge_ResizeGFP2,yeast_Intensity_MeanIntensityEdge_ResizeGFP2,yeast_Intensity_StdIntensityEdge_ResizeGFP2,yeast_Intensity_MinIntensityEdge_ResizeGFP2,yeast_Intensity_MaxIntensityEdge_ResizeGFP2,yeast_Intensity_MassDisplacement_ResizeGFP2,yeast_Intensity_LowerQuartileIntensity_ResizeGFP2,yeast_Intensity_MedianIntensity_ResizeGFP2,yeast_Intensity_MADIntensity_ResizeGFP2,yeast_Intensity_UpperQuartileIntensity_ResizeGFP2,yeast_Location_CenterMassIntensity_X_ResizeGFP2,yeast_Location_CenterMassIntensity_Y_ResizeGFP2,yeast_Location_CenterMassIntensity_Z_ResizeGFP2,yeast_Location_MaxIntensity_X_ResizeGFP2,yeast_Location_MaxIntensity_Y_ResizeGFP2,yeast_Location_MaxIntensity_Z_ResizeGFP2,Image_FileName_GFP2,Image_FileName_GFP1
1898,157.78174593052023,51.524238159167645,47.0225892455988,0.40878556834281,-6.2035170573086695,281.0758693361433,495.3983140147524,2346,258,304,471,522,0.9580596668041402,0.8090366581415175,0.9895724713242962,1.0437763269335434,1,23.0,8.41011702204516,7.447941497572213,1918,45.0,51.92301994298868,49.15901398428714,1,7.11269550621803,0.003747468654487898,0.0003495712506814452,0.0027110195569797386,0.0050943940048998266,0.46651365258598015,0.003455656685822075,0.0002203355129790624,0.0028271576680823796,0.004029229504166581,0.18029034666345484,0.0035095750362401823,0.003676152691945777,0.0002009104549731684,0.003938735027084767,281.11812202329247,495.57358329194807,0.0,287.0,492.0,0.0,001001-1-001001004.tif,001001-1-001001002.tif
1040,117.1543289325507,39.2938293791561,33.74158544150502,0.5124796968241834,11.061348243101808,1341.8990384615386,669.2298076923076,1287,1326,1359,651,690,0.9521963708737842,0.8080808080808081,0.9829867674858223,1.0502035405599675,1,17.0,6.2764250184713655,5.656854249492381,1058,32.0,39.293765408777,36.38913473173784,1,4.844117647058809,0.00465780542986424,0.0011487547990224735,0.0032353365038189775,0.008357281520476779,0.39804599747378316,0.003941049479938447,0.0005998177167119633,0.0033709722540118327,0.0061926197197426395,1.231386404037618,0.0037778795045904177,0.004206827564575358,0.0005395759687359955,0.005457643498385071,1340.8127701954425,669.809750560288,0.0,1338.0,671.0,0.0,001001-1-001001004.tif,001001-1-001001002.tif
776,100.91168824543142,33.0911484582478,29.887316598858213,0.42925864828990007,-82.52402290492631,1539.8067010309278,1018.2371134020618,990,1524,1557,1004,1034,0.9576099311287034,0.7838383838383839,0.9797979797979798,1.044266530132298,1,14.7648230602334,5.49329818655482,5.0,792,29.0,33.24154027718932,31.433006326383836,1,2.837017115536222,0.003655949891154925,0.000446351556367897,0.0027919771453760556,0.005162635741715632,0.2928939582750524,0.003405743700872702,0.00016538884373816658,0.0030899519340810253,0.003868162050812543,0.439025452279749,0.0033438451039732673,0.003556199825368955,0.00023058077532788152,0.0038071259632257576,1539.4832179710354,1018.5339333099388,0.0,1535.0,1021.0,0.0,001001-1-001001004.tif,001001-1-001001002.tif
1115,126.9116882454314,41.10173893011666,34.61477625954593,0.5392073603346331,13.225519709795822,1352.932735426009,1031.9497757847535,1435,1336,1371,1012,1053,0.8699243527290359,0.7770034843205574,0.9704090513489991,1.1495252395945743,1,17.0,6.303742989731102,5.656854249492381,1149,34.0,40.792156108742276,37.67840352748118,1,0.8330773208548429,0.003929610004032278,0.0006745982679402226,0.0032234683756771276,0.006740672922865625,0.4336465671439348,0.003871844349499418,0.0005452263495855427,0.0032819612929477823,0.005910751676373023,1.2208659135562647,0.003505760280765997,0.0037066707357391896,0.00023778642455685346,0.004020752269779512,1352.3705011483416,1033.131813339061,0.0,1340.0,1039.0,0.0,001001-1-001001004.tif,001001-1-001001002.tif
978,114.46803743153546,37.75327714524491,33.20665901089643,0.47576905556778754,-74.61307346392681,1568.7188139059306,1330.0725971370143,1326,1551,1590,1313,1347,0.9379512037602368,0.7375565610859729,0.9809428284854563,1.0661535440127485,1,16.1245154965971,6.04136434521407,5.385164807134504,997,32.449961479175904,38.47076812334269,35.28779214899948,1,3.0180679535108403,0.003085959052669571,0.0001812367159043766,0.002539355560641869,0.003710909352932718,0.28813187185812494,0.003032967072190789,0.00018673358030032287,0.0026203131490382223,0.0034688843111822976,0.1769058172115109,0.0029610979713977966,0.003082322423132633,0.00011910514313804958,0.0031976128107966,1568.5459774981985,1330.1103230475471,0.0,1562.0,1328.0,0.0,001001-1-001001004.tif,001001-1-001001002.tif
933,117.49747468305833,34.93782972059192,34.071502172439736,0.2213089868100433,-23.12496102082562,1169.245444801715,1391.6120042872456,1122,1153,1186,1375,1409,0.8492478235191757,0.8315508021390374,0.9749216300940439,1.1775125850262722,1,16.15549442140351,5.897833543643255,5.0,957,32.0,35.4682957019364,34.46639660942099,1,4.236939548841572,0.004541199945167816,0.0012379411978682047,0.003031459016810409,0.009389384807100519,0.3901753092071236,0.003788109798127414,0.00035504620027648407,0.003031459016810409,0.0047061366699727766,1.4050913962681302,0.0036601519120402037,0.004064621957732528,0.0005221976382425301,0.004999978806913993,1167.916467237736,1392.068184587464,0.0,1164.0,1397.0,0.0,001001-1-001001004.tif,001001-1-001001002.tif
947,113.05382386916239,36.21297260022976,33.40153844471125,0.3863222046819375,-73.3621486831263,173.44244984160508,1430.8278775079198,1295,156,193,1414,1449,0.931085000818791,0.7312741312741313,0.9752832131822863,1.0740157978279163,1,16.401219466856727,5.988531249349935,5.385164807134504,971,32.526911934581186,36.87817782917155,34.72402408800281,1,3.283134118325227,0.003466878688833397,0.0006045941271526779,0.0025804701474191013,0.005702635572170939,0.29147953171757224,0.0031008460821018323,0.00021812118875310483,0.002610564329493132,0.0036494494036265583,0.5117034839086847,0.003052758068207831,0.003284292532404253,0.0002808083890711412,0.003699994913659362,172.97949525205257,1431.0458534319494,0.0,174.0,1430.0,0.0,001001-1-001001004.tif,001001-1-001001002.tif
1087,119.39696961966999,38.04728457317131,36.48355322952954,0.28374316290353274,5.5206517640530075,1325.4839006439743,1537.7828886844527,1368,1308,1344,1520,1558,0.958192571574002,0.7945906432748538,0.9810469314079422,1.043631551387757,1,17.46424919657298,6.415454717716856,5.656854249492381,1108,35.0,38.27531841800928,37.202303492218356,1,3.967380449802047,0.003649844020057081,0.000582740980801214,0.0027478955265634163,0.00548180361638819,0.3410395632528838,0.0033435251299302336,0.00028631004458460095,0.0028513177860854774,0.004193687851275361,0.9463805112268665,0.0032015335317006092,0.003462526385392027,0.00032234683756771727,0.003986737366801453,1324.538838655477,1537.8328277465964,0.0,1316.0,1537.0,0.0,001001-1-001001004.tif,001001-1-001001002.tif
1130,120.81118318204308,39.243821458538264,36.713673992369316,0.3532538827362277,-82.45163833891655,379.6061946902655,1585.333628318584,1404,361,400,1568,1604,0.972913057596659,0.8048433048433048,0.9886264216972879,1.0278410719147428,1,18.0,6.5894375325634185,5.830951894845301,1143,35.0,39.56008088970496,37.930999005440576,1,4.360901299560024,0.0038592046898761273,0.001031068112659027,0.0026940650882055777,0.008494188855827664,0.31622754592541674,0.0030701703487904537,0.0001659105419811296,0.0027534057289149774,0.0034650695557081443,0.68347897824432,0.0031501402982291294,0.0035032171104498887,0.0004514127311106473,0.004206403702855979,379.43040530689757,1585.9941142051835,0.0,381.0,1588.0,0.0,001001-1-001001004.tif,001001-1-001001002.tif
